id;sex;example.audio;example.video;answer;order;v_a
26;f;k;t;-;1;v
26;f;t;t;t;1;v
26;f;k;k;k;1;v
26;f;p;t;p;1;v
26;f;t;p;k;1;v
26;f;p;p;p;1;v
26;f;k;p;p;1;v
26;f;t;k;t;1;v
27;f;p;k;p;1;v
27;f;k;t;t;1;v
27;f;t;t;t;1;v
27;f;k;k;k;1;v
27;f;p;t;p;1;v
27;f;t;p;k;1;v
27;f;p;p;p;1;v
27;f;k;p;t;1;v
27;f;t;k;t;1;v
28;f;p;k;p;1;v
28;f;k;t;t;1;v
28;f;t;t;t;1;v
28;f;k;k;k;1;v
28;f;p;t;p;1;v
28;f;t;p;k;1;v
28;f;p;p;p;1;v
28;f;k;p;k;1;v
28;f;t;k;t;1;v
29;f;p;k;p;1;v
29;f;k;t;k;1;v
29;f;t;t;t;1;v
29;f;k;k;k;1;v
29;f;p;t;p;1;v
29;f;t;p;t;1;v
29;f;p;p;p;1;v
29;f;k;p;k;1;v
29;f;t;k;t;1;v
30;m;p;k;p;1;v
30;m;k;t;k;1;v
30;m;t;t;t;1;v
30;m;k;k;k;1;v
30;m;p;t;p;1;v
30;m;t;p;k;1;v
30;m;p;p;p;1;v
30;m;k;p;k;1;v
30;m;t;k;t;1;v
31;f;p;k;p;1;v
31;f;k;t;k;1;v
31;f;t;t;t;1;v
31;f;k;k;k;1;v
31;f;p;t;p;1;v
31;f;t;p;k;1;v
31;f;p;p;p;1;v
31;f;k;p;k;1;v
31;f;t;k;t;1;v
32;m;p;k;p;1;v
32;m;k;t;k;1;v
32;m;t;t;t;1;v
32;m;k;k;k;1;v
32;m;p;t;p;1;v
32;m;t;p;k;1;v
32;m;p;p;p;1;v
32;m;k;p;k;1;v
32;m;t;k;t;1;v
33;f;p;k;p;1;v
33;f;k;t;k;1;v
33;f;t;t;t;1;v
33;f;k;k;k;1;v
33;f;p;t;p;1;v
33;f;t;p;-;1;v
33;f;p;p;p;1;v
33;f;k;p;k;1;v
33;f;t;k;t;1;v
34;f;p;k;p;1;v
34;f;k;t;t;1;v
34;f;t;t;t;1;v
34;f;k;k;k;1;v
34;f;p;t;p;1;v
34;f;t;p;k;1;v
34;f;p;p;p;1;v
34;f;k;p;k;1;v
34;f;t;k;t;1;v
35;f;p;k;p;1;v
35;f;k;t;k;1;v
35;f;t;t;t;1;v
35;f;k;k;k;1;v
35;f;p;t;p;1;v
35;f;t;p;k;1;v
35;f;p;p;p;1;v
35;f;k;p;k;1;v
35;f;t;k;t;1;v
36;m;p;k;p;1;v
36;m;k;t;k;1;v
36;m;t;t;t;1;v
36;m;k;k;k;1;v
36;m;p;t;p;1;v
36;m;t;p;k;1;v
36;m;p;p;p;1;v
36;m;k;p;k;1;v
36;m;t;k;t;1;v
37;f;p;k;p;1;v
37;f;k;t;k;1;v
37;f;t;t;t;1;v
37;f;k;k;k;1;v
37;f;p;t;p;1;v
37;f;t;p;k;1;v
37;f;p;p;p;1;v
37;f;k;p;k;1;v
37;f;t;k;t;1;v
38;m;p;k;p;1;v
38;m;k;t;k;1;v
38;m;t;t;t;1;v
38;m;k;k;k;1;v
38;m;p;t;p;1;v
38;m;t;p;-;1;v
38;m;p;p;p;1;v
38;m;k;p;-;1;v
38;m;t;k;t;1;v
39;m;p;k;p;1;v
39;m;k;t;k;1;v
39;m;t;t;t;1;v
39;m;k;k;k;1;v
39;m;p;t;p;1;v
39;m;t;p;k;1;v
39;m;p;p;p;1;v
39;m;k;p;k;1;v
39;m;t;k;t;1;v
40;m;p;k;-;1;v
40;m;k;t;p;1;v
40;m;t;t;t;1;v
40;m;k;k;k;1;v
40;m;p;t;p;1;v
40;m;t;p;-;1;v
40;m;p;p;p;1;v
40;m;k;p;k;1;v
40;m;t;k;t;1;v
41;m;p;k;p;1;a
41;m;k;t;k;1;a
41;m;t;t;t;1;a
41;m;k;k;k;1;a
41;m;p;t;p;1;a
41;m;t;p;k;1;a
41;m;p;p;p;1;a
41;m;k;p;k;1;a
41;m;t;k;t;1;a
42;f;p;k;p;1;a
42;f;k;t;k;1;a
42;f;t;t;t;1;a
42;f;k;k;k;1;a
42;f;p;t;-;1;a
42;f;t;p;k;1;a
42;f;p;p;p;1;a
42;f;k;p;p;1;a
42;f;t;k;p;1;a
43;f;p;k;p;1;a
43;f;k;t;k;1;a
43;f;t;t;t;1;a
43;f;k;k;k;1;a
43;f;p;t;p;1;a
43;f;t;p;t;1;a
43;f;p;p;p;1;a
43;f;k;p;k;1;a
43;f;t;k;t;1;a
44;f;p;k;p;1;a
44;f;k;t;k;1;a
44;f;t;t;t;1;a
44;f;k;k;k;1;a
44;f;p;t;p;1;a
44;f;t;p;p;1;a
44;f;p;p;p;1;a
44;f;k;p;k;1;a
44;f;t;k;t;1;a
45;m;p;k;p;1;a
45;m;k;t;k;1;a
45;m;t;t;t;1;a
45;m;k;k;k;1;a
45;m;p;t;p;1;a
45;m;t;p;t;1;a
45;m;p;p;p;1;a
45;m;k;p;k;1;a
45;m;t;k;t;1;a
46;f;p;k;p;1;a
46;f;k;t;k;1;a
46;f;t;t;t;1;a
46;f;k;k;k;1;a
46;f;p;t;p;1;a
46;f;t;p;k;1;a
46;f;p;p;p;1;a
46;f;k;p;k;1;a
46;f;t;k;t;1;a
47;f;p;k;p;1;a
47;f;k;t;k;1;a
47;f;t;t;t;1;a
47;f;k;k;k;1;a
47;f;p;t;p;1;a
47;f;t;p;t;1;a
47;f;p;p;p;1;a
47;f;k;p;k;1;a
47;f;t;k;t;1;a
48;m;p;k;p;1;a
48;m;k;t;k;1;a
48;m;t;t;t;1;a
48;m;k;k;k;1;a
48;m;p;t;p;1;a
48;m;t;p;k;1;a
48;m;p;p;p;1;a
48;m;k;p;p;1;a
48;m;t;k;t;1;a
49;m;p;k;p;1;a
49;m;k;t;k;1;a
49;m;t;t;t;1;a
49;m;k;k;k;1;a
49;m;p;t;p;1;a
49;m;t;p;k;1;a
49;m;p;p;p;1;a
49;m;k;p;k;1;a
49;m;t;k;t;1;a
50;m;p;k;p;1;a
50;m;k;t;k;1;a
50;m;t;t;t;1;a
50;m;k;k;k;1;a
50;m;p;t;p;1;a
50;m;t;p;k;1;a
50;m;p;p;p;1;a
50;m;k;p;k;1;a
50;m;t;k;t;1;a
51;f;p;k;p;2;v
51;f;k;t;k;2;v
51;f;t;t;t;2;v
51;f;k;k;k;2;v
51;f;p;t;p;2;v
51;f;t;p;k;2;v
51;f;p;p;p;2;v
51;f;k;p;k;2;v
51;f;t;k;t;2;v
52;f;p;k;p;2;v
52;f;k;t;t;2;v
52;f;t;t;t;2;v
