id;sex;example.audio;example.video;answer;order;v_a
110;f;k;p;k;3;v
110;f;t;k;t;3;v
111;f;p;k;p;3;v
111;f;k;t;k;3;v
111;f;t;t;t;3;v
111;f;k;k;k;3;v
111;f;p;t;p;3;v
111;f;t;p;p;3;v
111;f;p;p;p;3;v
111;f;k;p;k;3;v
111;f;t;k;t;3;v
112;m;p;k;p;3;v
112;m;k;t;k;3;v
112;m;t;t;t;3;v
112;m;k;k;k;3;v
112;m;p;t;p;3;v
112;m;t;p;t;3;v
112;m;p;p;p;3;v
112;m;k;p;k;3;v
112;m;t;k;t;3;v
113;m;p;k;p;3;v
113;m;k;t;k;3;v
113;m;t;t;t;3;v
113;m;k;k;k;3;v
113;m;p;t;p;3;v
113;m;t;p;k;3;v
113;m;p;p;p;3;v
113;m;k;p;k;3;v
113;m;t;k;t;3;v
114;m;p;k;p;3;v
114;m;k;t;k;3;v
114;m;t;t;t;3;v
114;m;k;k;k;3;v
114;m;p;t;p;3;v
114;m;t;p;k;3;v
114;m;p;p;p;3;v
114;m;k;p;k;3;v
114;m;t;k;t;3;v
115;m;p;k;p;3;v
115;m;k;t;k;3;v
115;m;t;t;t;3;v
115;m;k;k;p;3;v
115;m;p;t;p;3;v
115;m;t;p;t;3;v
115;m;p;p;p;3;v
115;m;k;p;k;3;v
115;m;t;k;t;3;v
116;f;p;k;p;3;v
116;f;k;t;k;3;v
116;f;t;t;t;3;v
116;f;k;k;k;3;v
116;f;p;t;p;3;v
116;f;t;p;k;3;v
116;f;p;p;p;3;v
116;f;k;p;k;3;v
116;f;t;k;t;3;v
117;f;p;k;p;3;v
117;f;k;t;k;3;v
117;f;t;t;t;3;v
117;f;k;k;k;3;v
117;f;p;t;t;3;v
117;f;t;p;k;3;v
117;f;p;p;p;3;v
117;f;k;p;k;3;v
117;f;t;k;t;3;v
118;f;p;k;p;3;v
118;f;k;t;k;3;v
118;f;t;t;t;3;v
118;f;k;k;k;3;v
118;f;p;t;p;3;v
118;f;t;p;k;3;v
118;f;p;p;p;3;v
118;f;k;p;p;3;v
118;f;t;k;t;3;v
119;f;p;k;p;3;v
119;f;k;t;k;3;v
119;f;t;t;t;3;v
119;f;k;k;k;3;v
119;f;p;t;p;3;v
119;f;t;p;t;3;v
119;f;p;p;p;3;v
119;f;k;p;k;3;v
119;f;t;k;t;3;v
120;m;p;k;p;3;v
120;m;k;t;k;3;v
120;m;t;t;t;3;v
120;m;k;k;k;3;v
120;m;p;t;p;3;v
120;m;t;p;t;3;v
120;m;p;p;p;3;v
120;m;k;p;k;3;v
120;m;t;k;t;3;v
121;m;p;k;p;3;v
121;m;k;t;k;3;v
121;m;t;t;t;3;v
121;m;k;k;k;3;v
121;m;p;t;p;3;v
121;m;t;p;k;3;v
121;m;p;p;p;3;v
121;m;k;p;k;3;v
121;m;t;k;t;3;v
122;m;p;k;p;3;v
122;m;k;t;k;3;v
122;m;t;t;t;3;v
122;m;k;k;k;3;v
122;m;p;t;p;3;v
122;m;t;p;k;3;v
122;m;p;p;p;3;v
122;m;k;p;k;3;v
122;m;t;k;t;3;v
123;f;p;k;p;3;v
123;f;k;t;k;3;v
123;f;t;t;t;3;v
123;f;k;k;k;3;v
123;f;p;t;p;3;v
123;f;t;p;k;3;v
123;f;p;p;p;3;v
123;f;k;p;k;3;v
123;f;t;k;t;3;v
124;f;p;k;k;3;v
124;f;k;t;k;3;v
124;f;t;t;t;3;v
124;f;k;k;k;3;v
124;f;p;t;k;3;v
124;f;t;p;k;3;v
124;f;p;p;p;3;v
124;f;k;p;k;3;v
124;f;t;k;t;3;v
125;f;p;k;p;3;v
125;f;k;t;k;3;v
125;f;t;t;t;3;v
125;f;k;k;k;3;v
125;f;p;t;p;3;v
125;f;t;p;t;3;v
125;f;p;p;p;3;v
125;f;k;p;k;3;v
125;f;t;k;t;3;v
126;m;p;k;p;3;v
126;m;k;t;t;3;v
126;m;t;t;t;3;v
126;m;k;k;k;3;v
126;m;p;t;p;3;v
126;m;t;p;t;3;v
126;m;p;p;p;3;v
126;m;k;p;k;3;v
126;m;t;k;t;3;v
127;m;p;k;p;3;v
127;m;k;t;k;3;v
127;m;t;t;t;3;v
127;m;k;k;k;3;v
127;m;p;t;p;3;v
127;m;t;p;t;3;v
127;m;p;p;p;3;v
127;m;k;p;k;3;v
127;m;t;k;t;3;v
128;m;p;k;p;3;v
128;m;k;t;k;3;v
128;m;t;t;t;3;v
128;m;k;k;k;3;v
128;m;p;t;t;3;v
128;m;t;p;t;3;v
128;m;p;p;p;3;v
128;m;k;p;p;3;v
128;m;t;k;t;3;v
129;m;p;k;p;3;v
129;m;k;t;k;3;v
129;m;t;t;t;3;v
129;m;k;k;k;3;v
129;m;p;t;p;3;v
129;m;t;p;k;3;v
129;m;p;p;p;3;v
129;m;k;p;k;3;v
129;m;t;k;t;3;v
130;m;p;k;t;3;v
130;m;k;t;k;3;v
130;m;t;t;t;3;v
130;m;k;k;k;3;v
130;m;p;t;p;3;v
130;m;t;p;t;3;v
130;m;p;p;p;3;v
130;m;k;p;k;3;v
130;m;t;k;t;3;v
131;f;p;k;p;3;v
131;f;k;t;k;3;v
131;f;t;t;t;3;v
131;f;k;k;k;3;v
131;f;p;t;p;3;v
131;f;t;p;t;3;v
131;f;p;p;p;3;v
131;f;k;p;k;3;v
131;f;t;k;t;3;v
132;f;p;k;p;3;v
132;f;k;t;k;3;v
132;f;t;t;t;3;v
132;f;k;k;k;3;v
132;f;p;t;t;3;v
132;f;t;p;p;3;v
132;f;p;p;p;3;v
132;f;k;p;k;3;v
132;f;t;k;t;3;v
133;f;p;k;p;3;v
133;f;k;t;k;3;v
133;f;t;t;t;3;v
133;f;k;k;k;3;v
133;f;p;t;p;3;v
133;f;t;p;k;3;v
133;f;p;p;p;3;v
133;f;k;p;k;3;v
133;f;t;k;t;3;v
134;m;p;k;p;3;v
134;m;k;t;k;3;v
134;m;t;t;t;3;v
134;m;k;k;k;3;v
134;m;p;t;p;3;v
134;m;t;p;t;3;v
134;m;p;p;p;3;v
134;m;k;p;k;3;v
134;m;t;k;t;3;v
135;f;p;k;p;3;v
135;f;k;t;k;3;v
135;f;t;t;t;3;v
135;f;k;k;k;3;v
135;f;p;t;p;3;v
135;f;t;p;k;3;v
135;f;p;p;p;3;v
135;f;k;p;k;3;v
135;f;t;k;t;3;v
136;f;p;k;p;3;v
136;f;k;t;p;3;v
136;f;t;t;t;3;v
136;f;k;k;k;3;v
136;f;p;t;p;3;v
136;f;t;p;k;3;v
136;f;p;p;p;3;v
136;f;k;p;k;3;v
136;f;t;k;t;3;v
137;f;p;k;p;3;v
137;f;k;t;k;3;v
137;f;t;t;t;3;v
137;f;k;k;k;3;v
137;f;p;t;p;3;v
137;f;t;p;p;3;v
137;f;p;p;p;3;v
137;f;k;p;k;3;v
137;f;t;k;t;3;v
138;m;p;k;p;3;v
138;m;k;t;k;3;v
138;m;t;t;t;3;v
138;m;k;k;k;3;v
138;m;p;t;p;3;v
138;m;t;p;t;3;v
138;m;p;p;p;3;v
138;m;k;p;k;3;v
138;m;t;k;t;3;v
139;m;p;k;p;3;v
139;m;k;t;p;3;v
139;m;t;t;t;3;v
139;m;k;k;k;3;v
139;m;p;t;t;3;v
139;m;t;p;k;3;v
139;m;p;p;p;3;v
139;m;k;p;k;3;v
139;m;t;k;t;3;v
140;m;p;k;p;3;v
140;m;k;t;-;3;v
140;m;t;t;t;3;v
140;m;k;k;k;3;v
140;m;p;t;p;3;v
140;m;t;p;-;3;v
140;m;p;p;p;3;v
140;m;k;p;-;3;v
140;m;t;k;t;3;v
141;m;p;k;p;3;a
141;m;k;t;k;3;a
141;m;t;t;t;3;a
141;m;k;k;k;3;a
141;m;p;t;p;3;a
141;m;t;p;t;3;a
141;m;p;p;p;3;a
141;m;k;p;k;3;a
141;m;t;k;t;3;a
142;m;p;k;p;3;a
142;m;k;t;k;3;a
142;m;t;t;t;3;a
142;m;k;k;k;3;a
142;m;p;t;p;3;a
142;m;t;p;t;3;a
142;m;p;p;p;3;a
142;m;k;p;k;3;a
142;m;t;k;t;3;a
143;m;p;k;p;3;a
143;m;k;t;k;3;a
143;m;t;t;t;3;a
143;m;k;k;k;3;a
143;m;p;t;t;3;a
143;m;t;p;k;3;a
143;m;p;p;p;3;a
143;m;k;p;k;3;a
143;m;t;k;t;3;a
144;m;p;k;p;3;a
144;m;k;t;k;3;a
144;m;t;t;t;3;a
144;m;k;k;k;3;a
144;m;p;t;p;3;a
144;m;t;p;k;3;a
144;m;p;p;p;3;a
144;m;k;p;k;3;a
144;m;t;k;t;3;a
145;m;p;k;p;3;a
145;m;k;t;k;3;a
145;m;t;t;t;3;a
145;m;k;k;k;3;a
145;m;p;t;p;3;a
145;m;t;p;t;3;a
145;m;p;p;p;3;a
145;m;k;p;k;3;a
145;m;t;k;t;3;a
146;f;p;k;k;3;a
146;f;k;t;k;3;a
146;f;t;t;t;3;a
146;f;k;k;k;3;a
146;f;p;t;p;3;a
146;f;t;p;t;3;a
146;f;p;p;p;3;a
146;f;k;p;p;3;a
146;f;t;k;t;3;a
147;f;p;k;p;3;a
147;f;k;t;k;3;a
147;f;t;t;t;3;a
147;f;k;k;k;3;a
147;f;p;t;p;3;a
147;f;t;p;t;3;a
147;f;p;p;p;3;a
147;f;k;p;p;3;a
147;f;t;k;t;3;a
148;f;p;k;p;3;a
148;f;k;t;k;3;a
148;f;t;t;t;3;a
148;f;k;k;k;3;a
148;f;p;t;p;3;a
148;f;t;p;k;3;a
148;f;p;p;p;3;a
148;f;k;p;k;3;a
148;f;t;k;t;3;a
149;f;p;k;p;3;a
149;f;k;t;k;3;a
149;f;t;t;t;3;a
149;f;k;k;k;3;a
149;f;p;t;p;3;a
149;f;t;p;k;3;a
149;f;p;p;p;3;a
149;f;k;p;k;3;a
149;f;t;k;t;3;a
150;f;p;k;p;3;a
150;f;k;t;k;3;a
150;f;t;t;t;3;a
150;f;k;k;k;3;a
150;f;p;t;p;3;a
150;f;t;p;t;3;a
150;f;p;p;p;3;a
150;f;k;p;k;3;a
150;f;t;k;t;3;a
